mesh,bounding,surface
0,0.93,0.86
1,1.0,0.99
2,1.0,1.0
3,1.0,0.99
4,0.99,0.98
5,0.99,0.97
6,1.0,0.99
7,0.87,0.84
8,0.99,0.98
9,0.07,0.36
10,0.98,0.97
11,1.0,1.0
12,1.0,0.99
13,0.99,0.96
14,1.0,0.99
15,0.69,0.66
16,0.5,0.7
17,0.83,0.73
18,0.63,0.63
19,0.96,0.95
20,0.81,0.75
21,1.0,0.98
22,0.99,0.96
23,0.99,0.97
24,1.0,0.99
25,1.0,0.99
26,0.87,0.81
27,0.96,0.94
28,0.58,0.55
29,1.0,0.99
30,1.0,0.98
31,0.98,0.96
32,0.61,0.6
33,0.82,0.74
34,0.99,0.96
35,1.0,0.99
36,0.64,0.67
37,1.0,0.99
38,1.0,0.99
39,1.0,0.99
40,1.0,0.99
41,0.99,0.97
42,0.99,0.96
43,0.64,0.58
44,0.71,0.99
45,1.0,0.99
46,0.94,0.94
47,0.99,0.97
48,1.0,0.98
49,0.99,0.98
